epoch,train_loss,val_loss,stage_sil,patient_sil_W,patient_sil_N1,patient_sil_N2,patient_sil_N3,patient_sil_R,avg_patient_sil,lr
1,3.4319139352211585,3.4258038232085903,-0.09466888755559921,-0.19760458171367645,-0.010652388446033001,-0.11071482300758362,-0.05941300839185715,-0.01595263183116913,-0.07886748667806387,0.01
2,3.4314233481884004,3.426624381214107,-0.09859777241945267,-0.12952423095703125,0.01586086116731167,-0.09953668713569641,-0.044229112565517426,0.011989369057118893,-0.0490879600867629,0.01
3,3.4314282765755286,3.4266927920350243,-0.10581837594509125,-0.12840430438518524,-0.032145824283361435,-0.08830708265304565,-0.07021631300449371,-0.022450704127550125,-0.06830484569072723,0.01
4,3.4313822370309097,3.426693778519237,-0.07785691320896149,-0.13540668785572052,0.002406496088951826,-0.04471677169203758,-0.05883875489234924,0.006749747786670923,-0.04596119411289692,0.01
5,3.4313818019170026,3.42669372164875,-0.13380078971385956,-0.11807103455066681,0.010110358707606792,-0.0856335461139679,-0.13108552992343903,0.03516984358429909,-0.05790198165923357,0.01
6,3.431381727181948,3.4266940847449345,-0.17195305228233337,-0.09988366812467575,-0.07162514328956604,-0.07252230495214462,-0.07739125192165375,-0.04206305742263794,-0.07269708514213562,0.01
7,3.431381778533642,3.426694139428095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
8,3.431382124699079,3.426694139428095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
9,3.431382165505336,3.426694139428095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
10,3.431382159086374,3.426694139428095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
